"","GEOID","NAME","variable","estimate","moe"
"2670","48293","Limestone County, Texas","B15003_022",1572,238
"2671","48295","Lipscomb County, Texas","B15003_022",314,46
"2672","48297","Live Oak County, Texas","B15003_022",722,160
"2673","48299","Llano County, Texas","B15003_022",2981,360
"2674","48301","Loving County, Texas","B15003_022",3,4
"2675","48303","Lubbock County, Texas","B15003_022",31162,1018
"2676","48305","Lynn County, Texas","B15003_022",523,88
"2677","48307","McCulloch County, Texas","B15003_022",671,142
"2678","48309","McLennan County, Texas","B15003_022",21969,875
"2679","48311","McMullen County, Texas","B15003_022",49,30
"2680","48313","Madison County, Texas","B15003_022",921,216
"2681","48315","Marion County, Texas","B15003_022",778,200
"2682","48317","Martin County, Texas","B15003_022",448,141
"2683","48319","Mason County, Texas","B15003_022",424,107
"2684","48321","Matagorda County, Texas","B15003_022",2547,366
"2685","48323","Maverick County, Texas","B15003_022",2808,428
"2686","48325","Medina County, Texas","B15003_022",4251,406
"2687","48327","Menard County, Texas","B15003_022",170,72
"2688","48329","Midland County, Texas","B15003_022",19394,1103
"2689","48331","Milam County, Texas","B15003_022",1860,294
"2690","48333","Mills County, Texas","B15003_022",502,107
"2691","48335","Mitchell County, Texas","B15003_022",545,173
"2692","48337","Montague County, Texas","B15003_022",1461,225
"2693","48339","Montgomery County, Texas","B15003_022",77686,2713
"2694","48341","Moore County, Texas","B15003_022",1327,266
"2695","48343","Morris County, Texas","B15003_022",893,195
"2696","48345","Motley County, Texas","B15003_022",92,29
"2697","48347","Nacogdoches County, Texas","B15003_022",5756,452
"2698","48349","Navarro County, Texas","B15003_022",3170,319
"2699","48351","Newton County, Texas","B15003_022",668,245
"2700","48353","Nolan County, Texas","B15003_022",948,170
"2701","48355","Nueces County, Texas","B15003_022",31165,1338
"2702","48357","Ochiltree County, Texas","B15003_022",849,208
"2703","48359","Oldham County, Texas","B15003_022",227,76
"2704","48361","Orange County, Texas","B15003_022",6754,640
"2705","48363","Palo Pinto County, Texas","B15003_022",2239,282
"2706","48365","Panola County, Texas","B15003_022",1599,296
"2707","48367","Parker County, Texas","B15003_022",16056,791
"2708","48369","Parmer County, Texas","B15003_022",747,138
"2709","48371","Pecos County, Texas","B15003_022",696,138
"2710","48373","Polk County, Texas","B15003_022",3086,420
"2711","48375","Potter County, Texas","B15003_022",7824,516
"2712","48377","Presidio County, Texas","B15003_022",608,193
"2713","48379","Rains County, Texas","B15003_022",601,168
"2714","48381","Randall County, Texas","B15003_022",17818,953
"2715","48383","Reagan County, Texas","B15003_022",179,67
"2716","48385","Real County, Texas","B15003_022",391,112
"2717","48387","Red River County, Texas","B15003_022",934,177
"2718","48389","Reeves County, Texas","B15003_022",683,181
"2719","48391","Refugio County, Texas","B15003_022",438,85
"2720","48393","Roberts County, Texas","B15003_022",152,38
"2721","48395","Robertson County, Texas","B15003_022",1170,224
"2722","48397","Rockwall County, Texas","B15003_022",15356,890
"2723","48399","Runnels County, Texas","B15003_022",1063,153
"2724","48401","Rusk County, Texas","B15003_022",3855,410
"2725","48403","Sabine County, Texas","B15003_022",749,188
"2726","48405","San Augustine County, Texas","B15003_022",531,125
"2727","48407","San Jacinto County, Texas","B15003_022",1428,297
"2728","48409","San Patricio County, Texas","B15003_022",4160,428
"2729","48411","San Saba County, Texas","B15003_022",449,123
"2730","48413","Schleicher County, Texas","B15003_022",305,84
"2731","48415","Scurry County, Texas","B15003_022",1258,213
"2732","48417","Shackelford County, Texas","B15003_022",449,92
"2733","48419","Shelby County, Texas","B15003_022",1754,292
"2734","48421","Sherman County, Texas","B15003_022",340,64
"2735","48423","Smith County, Texas","B15003_022",25104,1131
"2736","48425","Somervell County, Texas","B15003_022",822,187
"2737","48427","Starr County, Texas","B15003_022",2467,378
"2738","48429","Stephens County, Texas","B15003_022",712,184
"2739","48431","Sterling County, Texas","B15003_022",103,38
"2740","48433","Stonewall County, Texas","B15003_022",71,30
"2741","48435","Sutton County, Texas","B15003_022",460,161
"2742","48437","Swisher County, Texas","B15003_022",507,125
"2743","48439","Tarrant County, Texas","B15003_022",264881,4038
"2744","48441","Taylor County, Texas","B15003_022",13250,729
"2745","48443","Terrell County, Texas","B15003_022",54,37
"2746","48445","Terry County, Texas","B15003_022",696,178
"2747","48447","Throckmorton County, Texas","B15003_022",178,40
"2748","48449","Titus County, Texas","B15003_022",2192,290
"2749","48451","Tom Green County, Texas","B15003_022",12276,846
"2750","48453","Travis County, Texas","B15003_022",240380,3249
"2751","48455","Trinity County, Texas","B15003_022",878,173
"2752","48457","Tyler County, Texas","B15003_022",1472,275
"2753","48459","Upshur County, Texas","B15003_022",3255,398
"2754","48461","Upton County, Texas","B15003_022",145,53
"2755","48463","Uvalde County, Texas","B15003_022",1823,297
"2756","48465","Val Verde County, Texas","B15003_022",3772,444
"2757","48467","Van Zandt County, Texas","B15003_022",4419,532
"2758","48469","Victoria County, Texas","B15003_022",7819,778
"2759","48471","Walker County, Texas","B15003_022",6546,620
"2760","48473","Waller County, Texas","B15003_022",3477,451
"2761","48475","Ward County, Texas","B15003_022",669,154
"2762","48477","Washington County, Texas","B15003_022",3876,520
"2763","48479","Webb County, Texas","B15003_022",18078,1097
"2764","48481","Wharton County, Texas","B15003_022",2560,335
"2765","48483","Wheeler County, Texas","B15003_022",429,78
"2766","48485","Wichita County, Texas","B15003_022",12916,850
"2767","48487","Wilbarger County, Texas","B15003_022",1011,231
"2768","48489","Willacy County, Texas","B15003_022",930,195
"2769","48491","Williamson County, Texas","B15003_022",89380,2062
"2770","48493","Wilson County, Texas","B15003_022",4199,366
"2771","48495","Winkler County, Texas","B15003_022",380,83
"2772","48497","Wise County, Texas","B15003_022",5397,546
"2773","48499","Wood County, Texas","B15003_022",3719,482
"2774","48501","Yoakum County, Texas","B15003_022",517,145
"2775","48503","Young County, Texas","B15003_022",1636,345
"2776","48505","Zapata County, Texas","B15003_022",651,255
"2777","48507","Zavala County, Texas","B15003_022",388,183
"2778","49001","Beaver County, Utah","B15003_022",486,107
"2779","49003","Box Elder County, Utah","B15003_022",4902,296
"2780","49005","Cache County, Utah","B15003_022",14861,565
"2781","49007","Carbon County, Utah","B15003_022",1440,173
"2782","49009","Daggett County, Utah","B15003_022",35,17
"2783","49011","Davis County, Utah","B15003_022",47983,1456
"2784","49013","Duchesne County, Utah","B15003_022",1203,112
"2785","49015","Emery County, Utah","B15003_022",741,117
"2786","49017","Garfield County, Utah","B15003_022",534,88
"2787","49019","Grand County, Utah","B15003_022",1136,261
"2788","49021","Iron County, Utah","B15003_022",5330,475
"2789","49023","Juab County, Utah","B15003_022",718,152
"2790","49025","Kane County, Utah","B15003_022",846,168
"2791","49027","Millard County, Utah","B15003_022",1241,182
"2792","49029","Morgan County, Utah","B15003_022",1593,206
"2793","49031","Piute County, Utah","B15003_022",252,75
"2794","49033","Rich County, Utah","B15003_022",251,66
"2795","49035","Salt Lake County, Utah","B15003_022",147726,2720
"2796","49037","San Juan County, Utah","B15003_022",972,144
"2797","49039","Sanpete County, Utah","B15003_022",2109,241
"2798","49041","Sevier County, Utah","B15003_022",1429,158
"2799","49043","Summit County, Utah","B15003_022",8638,458
"2800","49045","Tooele County, Utah","B15003_022",5980,612
"2801","49047","Uintah County, Utah","B15003_022",2165,315
"2802","49049","Utah County, Utah","B15003_022",76063,1298
"2803","49051","Wasatch County, Utah","B15003_022",4524,379
"2804","49053","Washington County, Utah","B15003_022",17275,952
"2805","49055","Wayne County, Utah","B15003_022",330,88
"2806","49057","Weber County, Utah","B15003_022",24534,867
"2807","50001","Addison County, Vermont","B15003_022",5487,298
"2808","50003","Bennington County, Vermont","B15003_022",5409,441
"2809","50005","Caledonia County, Vermont","B15003_022",3602,300
"2810","50007","Chittenden County, Vermont","B15003_022",30524,1043
"2811","50009","Essex County, Vermont","B15003_022",427,66
"2812","50011","Franklin County, Vermont","B15003_022",5594,501
"2813","50013","Grand Isle County, Vermont","B15003_022",1202,142
"2814","50015","Lamoille County, Vermont","B15003_022",4006,363
"2815","50017","Orange County, Vermont","B15003_022",3702,250
"2816","50019","Orleans County, Vermont","B15003_022",2687,179
"2817","50021","Rutland County, Vermont","B15003_022",8137,434
"2818","50023","Washington County, Vermont","B15003_022",9466,552
"2819","50025","Windham County, Vermont","B15003_022",6812,358
"2820","50027","Windsor County, Vermont","B15003_022",8535,499
"2821","51001","Accomack County, Virginia","B15003_022",2688,360
"2822","51003","Albemarle County, Virginia","B15003_022",18931,864
"2823","51005","Alleghany County, Virginia","B15003_022",1192,166
"2824","51007","Amelia County, Virginia","B15003_022",911,233
"2825","51009","Amherst County, Virginia","B15003_022",2879,340
"2826","51011","Appomattox County, Virginia","B15003_022",1285,236
"2827","51013","Arlington County, Virginia","B15003_022",59644,1613
"2828","51015","Augusta County, Virginia","B15003_022",8020,602
"2829","51017","Bath County, Virginia","B15003_022",374,188
"2830","51019","Bedford County, Virginia","B15003_022",9826,828
"2831","51021","Bland County, Virginia","B15003_022",550,170
"2832","51023","Botetourt County, Virginia","B15003_022",4467,395
"2833","51025","Brunswick County, Virginia","B15003_022",935,168
"2834","51027","Buchanan County, Virginia","B15003_022",1132,223
"2835","51029","Buckingham County, Virginia","B15003_022",939,185
"2836","51031","Campbell County, Virginia","B15003_022",5324,545
"2837","51033","Caroline County, Virginia","B15003_022",2748,481
"2838","51035","Carroll County, Virginia","B15003_022",2310,307
"2839","51036","Charles City County, Virginia","B15003_022",432,69
"2840","51037","Charlotte County, Virginia","B15003_022",665,136
"2841","51041","Chesterfield County, Virginia","B15003_022",53337,1419
"2842","51043","Clarke County, Virginia","B15003_022",1589,241
"2843","51045","Craig County, Virginia","B15003_022",548,256
"2844","51047","Culpeper County, Virginia","B15003_022",4869,487
"2845","51049","Cumberland County, Virginia","B15003_022",687,228
"2846","51051","Dickenson County, Virginia","B15003_022",626,139
"2847","51053","Dinwiddie County, Virginia","B15003_022",2071,310
"2848","51057","Essex County, Virginia","B15003_022",1001,193
"2849","51059","Fairfax County, Virginia","B15003_022",240721,2612
