"","GEOID","NAME","variable","estimate","moe"
"167","05111","Poinsett County, Arkansas","B19013_001",37487,2704
"168","05113","Polk County, Arkansas","B19013_001",33870,2290
"169","05115","Pope County, Arkansas","B19013_001",40668,2212
"170","05117","Prairie County, Arkansas","B19013_001",41244,2365
"171","05119","Pulaski County, Arkansas","B19013_001",48850,1099
"172","05121","Randolph County, Arkansas","B19013_001",35930,2002
"173","05123","St. Francis County, Arkansas","B19013_001",33102,2378
"174","05125","Saline County, Arkansas","B19013_001",58985,2015
"175","05127","Scott County, Arkansas","B19013_001",37396,4756
"176","05129","Searcy County, Arkansas","B19013_001",36716,4199
"177","05131","Sebastian County, Arkansas","B19013_001",40932,1755
"178","05133","Sevier County, Arkansas","B19013_001",43675,2792
"179","05135","Sharp County, Arkansas","B19013_001",31792,1931
"180","05137","Stone County, Arkansas","B19013_001",33091,4191
"181","05139","Union County, Arkansas","B19013_001",41106,2148
"182","05141","Van Buren County, Arkansas","B19013_001",34428,2409
"183","05143","Washington County, Arkansas","B19013_001",47452,1026
"184","05145","White County, Arkansas","B19013_001",44074,3056
"185","05147","Woodruff County, Arkansas","B19013_001",30097,3976
"186","05149","Yell County, Arkansas","B19013_001",39696,2480
"187","06001","Alameda County, California","B19013_001",85743,940
"188","06003","Alpine County, California","B19013_001",63438,4535
"189","06005","Amador County, California","B19013_001",60636,2765
"190","06007","Butte County, California","B19013_001",46516,1130
"191","06009","Calaveras County, California","B19013_001",54800,3529
"192","06011","Colusa County, California","B19013_001",56481,4858
"193","06013","Contra Costa County, California","B19013_001",88456,822
"194","06015","Del Norte County, California","B19013_001",41287,4114
"195","06017","El Dorado County, California","B19013_001",74885,2565
"196","06019","Fresno County, California","B19013_001",48730,655
"197","06021","Glenn County, California","B19013_001",46260,3402
"198","06023","Humboldt County, California","B19013_001",43718,1579
"199","06025","Imperial County, California","B19013_001",44779,1850
"200","06027","Inyo County, California","B19013_001",51500,4578
"201","06029","Kern County, California","B19013_001",50826,771
"202","06031","Kings County, California","B19013_001",49742,1744
"203","06033","Lake County, California","B19013_001",40446,2857
"204","06035","Lassen County, California","B19013_001",54083,2927
"205","06037","Los Angeles County, California","B19013_001",61015,262
"206","06039","Madera County, California","B19013_001",48210,2108
"207","06041","Marin County, California","B19013_001",104703,1763
"208","06043","Mariposa County, California","B19013_001",51385,3637
"209","06045","Mendocino County, California","B19013_001",46528,1787
"210","06047","Merced County, California","B19013_001",46338,1301
"211","06049","Modoc County, California","B19013_001",39296,4907
"212","06051","Mono County, California","B19013_001",60595,6356
"213","06053","Monterey County, California","B19013_001",63249,1209
"214","06055","Napa County, California","B19013_001",79637,1895
"215","06057","Nevada County, California","B19013_001",60610,2262
"216","06059","Orange County, California","B19013_001",81851,570
"217","06061","Placer County, California","B19013_001",80488,1431
"218","06063","Plumas County, California","B19013_001",50266,3476
"219","06065","Riverside County, California","B19013_001",60807,429
"220","06067","Sacramento County, California","B19013_001",60239,475
"221","06069","San Benito County, California","B19013_001",80760,3889
"222","06071","San Bernardino County, California","B19013_001",57156,594
"223","06073","San Diego County, California","B19013_001",70588,617
"224","06075","San Francisco County, California","B19013_001",96265,1349
"225","06077","San Joaquin County, California","B19013_001",57813,863
"226","06079","San Luis Obispo County, California","B19013_001",67175,1720
"227","06081","San Mateo County, California","B19013_001",105667,1195
"228","06083","Santa Barbara County, California","B19013_001",68023,1420
"229","06085","Santa Clara County, California","B19013_001",106761,858
"230","06087","Santa Cruz County, California","B19013_001",73663,1682
"231","06089","Shasta County, California","B19013_001",47258,1104
"232","06091","Sierra County, California","B19013_001",44190,9650
"233","06093","Siskiyou County, California","B19013_001",40884,1957
"234","06095","Solano County, California","B19013_001",72950,1244
"235","06097","Sonoma County, California","B19013_001",71769,1046
"236","06099","Stanislaus County, California","B19013_001",54260,976
"237","06101","Sutter County, California","B19013_001",54347,2000
"238","06103","Tehama County, California","B19013_001",42512,2803
"239","06105","Trinity County, California","B19013_001",36563,5946
"240","06107","Tulare County, California","B19013_001",44871,1286
"241","06109","Tuolumne County, California","B19013_001",54325,2700
"242","06111","Ventura County, California","B19013_001",81972,983
"243","06113","Yolo County, California","B19013_001",61621,1733
"244","06115","Yuba County, California","B19013_001",51776,2375
"245","08001","Adams County, Colorado","B19013_001",64087,991
"246","08003","Alamosa County, Colorado","B19013_001",36315,4688
"247","08005","Arapahoe County, Colorado","B19013_001",69553,846
"248","08007","Archuleta County, Colorado","B19013_001",48016,5197
"249","08009","Baca County, Colorado","B19013_001",35898,2615
"250","08011","Bent County, Colorado","B19013_001",32500,3442
"251","08013","Boulder County, Colorado","B19013_001",75669,1234
"252","08014","Broomfield County, Colorado","B19013_001",85639,2394
"253","08015","Chaffee County, Colorado","B19013_001",53762,2655
"254","08017","Cheyenne County, Colorado","B19013_001",54907,5772
"255","08019","Clear Creek County, Colorado","B19013_001",68534,4776
"256","08021","Conejos County, Colorado","B19013_001",35657,3150
"257","08023","Costilla County, Colorado","B19013_001",29000,4573
"258","08025","Crowley County, Colorado","B19013_001",35292,6589
"259","08027","Custer County, Colorado","B19013_001",41330,3601
"260","08029","Delta County, Colorado","B19013_001",42487,4104
"261","08031","Denver County, Colorado","B19013_001",60098,950
"262","08033","Dolores County, Colorado","B19013_001",40352,7713
"263","08035","Douglas County, Colorado","B19013_001",111154,1484
"264","08037","Eagle County, Colorado","B19013_001",83803,4624
"265","08039","Elbert County, Colorado","B19013_001",92849,4456
"266","08041","El Paso County, Colorado","B19013_001",62535,844
"267","08043","Fremont County, Colorado","B19013_001",44712,1951
"268","08045","Garfield County, Colorado","B19013_001",66503,2244
"269","08047","Gilpin County, Colorado","B19013_001",72544,5648
"270","08049","Grand County, Colorado","B19013_001",66489,6712
"271","08051","Gunnison County, Colorado","B19013_001",52651,4811
"272","08053","Hinsdale County, Colorado","B19013_001",53056,13171
"273","08055","Huerfano County, Colorado","B19013_001",35801,2554
"274","08057","Jackson County, Colorado","B19013_001",45994,4071
"275","08059","Jefferson County, Colorado","B19013_001",75170,854
"276","08061","Kiowa County, Colorado","B19013_001",39250,3911
"277","08063","Kit Carson County, Colorado","B19013_001",45881,4121
"278","08065","Lake County, Colorado","B19013_001",46176,6432
"279","08067","La Plata County, Colorado","B19013_001",62533,2438
"280","08069","Larimer County, Colorado","B19013_001",64980,1414
"281","08071","Las Animas County, Colorado","B19013_001",40586,4510
"282","08073","Lincoln County, Colorado","B19013_001",44725,3719
"283","08075","Logan County, Colorado","B19013_001",44876,5064
"284","08077","Mesa County, Colorado","B19013_001",51971,1350
"285","08079","Mineral County, Colorado","B19013_001",50385,6570
"286","08081","Moffat County, Colorado","B19013_001",53010,4266
"287","08083","Montezuma County, Colorado","B19013_001",45645,3355
"288","08085","Montrose County, Colorado","B19013_001",44865,2428
"289","08087","Morgan County, Colorado","B19013_001",51456,1911
"290","08089","Otero County, Colorado","B19013_001",35051,2700
"291","08091","Ouray County, Colorado","B19013_001",61333,5822
"292","08093","Park County, Colorado","B19013_001",61644,5623
"293","08095","Phillips County, Colorado","B19013_001",50076,8749
"294","08097","Pitkin County, Colorado","B19013_001",67755,7367
