"","GEOID","County","Adult Population with Bachlors Degree Estimate","Adult Population with Bachlors Degree 90% Confidence Interval","Adult Population Estimate","Adult Population 90% Confidence Interval","Median Household Income Estimate","Median Household Income 90% Confidence Interval","PCT_Degree"
"378","12115","Sarasota County, Florida",64876,1767,321126,136,55236,1026,0.202026618834974
"379","12117","Seminole County, Florida",79651,2024,313146,129,60739,1116,0.254357392398434
"380","12119","Sumter County, Florida",18855,1437,104244,273,54771,2856,0.180873719350754
"381","12121","Suwannee County, Florida",2955,499,30583,462,40600,3543,0.0966223065101527
"382","12123","Taylor County, Florida",953,234,16155,182,37188,4545,0.0589910244506345
"383","12125","Union County, Florida",723,163,11304,136,37460,6004,0.0639596602972399
"384","12127","Volusia County, Florida",56598,1462,381262,83,43838,781,0.148449097995604
"385","12129","Wakulla County, Florida",2733,423,22804,123,57866,4026,0.119847395193826
"386","12131","Walton County, Florida",8178,637,46316,218,50619,1771,0.176569651956127
"387","12133","Washington County, Florida",1251,205,17464,115,36989,3048,0.0716330737517178
"388","13001","Appling County, Georgia",819,193,12366,136,37089,3056,0.0662299854439592
"389","13003","Atkinson County, Georgia",252,104,5242,118,33063,1483,0.0480732544830218
"390","13005","Bacon County, Georgia",535,143,7454,118,38824,3793,0.0717735444056882
"391","13007","Baker County, Georgia",138,64,2308,132,43867,6318,0.0597920277296361
"392","13009","Baldwin County, Georgia",3013,441,28061,149,37008,2546,0.107373222622145
"393","13011","Banks County, Georgia",923,193,12610,99,42182,3151,0.0731958762886598
"394","13013","Barrow County, Georgia",5756,475,48812,44,56119,2078,0.117921822502663
"395","13015","Bartow County, Georgia",8715,722,68263,83,52393,2222,0.127667989979931
"396","13017","Ben Hill County, Georgia",709,183,11412,84,32344,2976,0.0621275849982475
"397","13019","Berrien County, Georgia",943,187,12923,114,38297,3248,0.0729706724444788
"398","13021","Bibb County, Georgia",14848,971,99658,181,38183,1684,0.148989544241305
"399","13023","Bleckley County, Georgia",748,179,8035,80,40688,3305,0.0930927193528314
"400","13025","Brantley County, Georgia",543,145,12397,99,36812,3685,0.0438009195773171
"401","13027","Brooks County, Georgia",1056,237,11034,188,34890,5889,0.0957041870581838
"402","13029","Bryan County, Georgia",4517,518,21990,110,68589,5815,0.205411550704866
"403","13031","Bulloch County, Georgia",6282,527,40497,143,39305,2425,0.155122601674198
"404","13033","Burke County, Georgia",1046,214,14663,78,38707,5008,0.0713360158221373
